This is Ipopt version 3.14.11, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    28170
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:    17180

Total number of variables............................:     5278
                     variables with only lower bounds:      990
                variables with lower and upper bounds:     4288
                     variables with only upper bounds:        0
Total number of equality constraints.................:     4248
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 185  2.6505110e-02 4.47e-05 1.70e-05  -7.0 4.33e-03  -2.5 1.00e+00 1.00e+00h  1
 186  2.6504677e-02 6.29e-06 1.50e-05  -7.0 1.63e-03  -2.0 1.00e+00 1.00e+00h  1
 187  2.6500895e-02 5.02e-04 8.56e-05  -7.0 1.45e-02  -3.0 1.00e+00 1.00e+00h  1
 188  2.6499496e-02 6.91e-05 1.75e-05  -7.0 5.16e-03  -2.6 1.00e+00 1.00e+00h  1
 189  2.6499431e-02 1.49e-07 1.30e-05  -7.0 2.29e-04  -1.2 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190  2.6499235e-02 1.37e-06 1.40e-05  -7.0 7.36e-04  -1.7 1.00e+00 1.00e+00h  1
 191  2.6499162e-02 1.93e-07 1.39e-05  -7.0 2.76e-04  -1.3 1.00e+00 1.00e+00h  1
 192  2.6498942e-02 1.74e-06 1.40e-05  -7.0 8.27e-04  -1.8 1.00e+00 1.00e+00h  1
 193  2.6498289e-02 1.56e-05 1.47e-05  -7.0 2.47e-03  -2.3 1.00e+00 1.00e+00h  1
 194  2.6492673e-02 1.23e-03 2.43e-04  -7.0 2.15e-02  -3.2 1.00e+00 1.00e+00h  1
 195  2.6486747e-02 1.49e-03 3.46e-04  -7.0 2.23e-02  -3.3 1.00e+00 1.00e+00h  1
 196  2.6486473e-02 2.81e-06 9.99e-06  -7.0 8.48e-04  -1.9 1.00e+00 1.00e+00h  1
 197  2.6484078e-02 2.59e-04 5.28e-05  -7.0 8.97e-03  -2.9 1.00e+00 1.00e+00h  1
 198  2.6483194e-02 3.59e-05 1.32e-05  -7.0 3.25e-03  -2.5 1.00e+00 1.00e+00h  1
 199  2.6482865e-02 5.05e-06 1.16e-05  -7.0 1.22e-03  -2.0 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 200  2.6479999e-02 4.04e-04 1.01e-04  -7.0 1.08e-02  -3.0 1.00e+00 1.00e+00h  1
 201  2.6478943e-02 5.56e-05 1.34e-05  -7.0 3.87e-03  -2.6 1.00e+00 1.00e+00h  1
 202  2.6478551e-02 7.83e-06 1.11e-05  -7.0 1.46e-03  -2.1 1.00e+00 1.00e+00h  1
 203  2.6475163e-02 6.24e-04 1.58e-04  -7.0 1.28e-02  -3.1 1.00e+00 1.00e+00h  1
 204  2.6475004e-02 1.25e-06 8.89e-06  -7.0 5.10e-04  -1.8 1.00e+00 1.00e+00h  1
 205  2.6474533e-02 1.22e-05 1.08e-05  -7.0 1.75e-03  -2.2 1.00e+00 1.00e+00h  1
 206  2.6474357e-02 1.71e-06 1.02e-05  -7.0 6.52e-04  -1.8 1.00e+00 1.00e+00h  1
 207  2.6473836e-02 1.54e-05 1.08e-05  -7.0 1.95e-03  -2.3 1.00e+00 1.00e+00h  1
 208  2.6469410e-02 1.21e-03 2.88e-04  -7.0 1.69e-02  -3.2 1.00e+00 1.00e+00h  1
 209  2.6464775e-02 1.46e-03 2.57e-04  -7.0 1.74e-02  -3.3 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 210  2.6463075e-02 1.99e-04 3.09e-05  -7.0 6.06e-03  -2.9 1.00e+00 1.00e+00h  1
 211  2.6462995e-02 4.23e-07 7.96e-06  -7.0 2.74e-04  -1.5 1.00e+00 1.00e+00h  1
 212  2.6462760e-02 3.97e-06 8.64e-06  -7.0 8.73e-04  -2.0 1.00e+00 1.00e+00h  1
 213  2.6462672e-02 5.58e-07 8.44e-06  -7.0 3.26e-04  -1.6 1.00e+00 1.00e+00h  1
 214  2.6462411e-02 5.02e-06 8.63e-06  -7.0 9.78e-04  -2.1 1.00e+00 1.00e+00h  1
 215  2.6462313e-02 7.05e-07 8.40e-06  -7.0 3.65e-04  -1.6 1.00e+00 1.00e+00h  1
 216  2.6462022e-02 6.33e-06 8.63e-06  -7.0 1.09e-03  -2.1 1.00e+00 1.00e+00h  1
 217  2.6461159e-02 5.66e-05 1.07e-05  -7.0 3.25e-03  -2.6 1.00e+00 1.00e+00h  1
 218  2.6460837e-02 7.91e-06 8.47e-06  -7.0 1.20e-03  -2.2 1.00e+00 1.00e+00h  1
 219  2.6459888e-02 7.09e-05 1.11e-05  -7.0 3.58e-03  -2.6 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 220  2.6459534e-02 9.88e-06 8.35e-06  -7.0 1.32e-03  -2.2 1.00e+00 1.00e+00h  1
 221  2.6458492e-02 8.85e-05 1.15e-05  -7.0 3.93e-03  -2.7 1.00e+00 1.00e+00h  1
 222  2.6458104e-02 1.23e-05 8.24e-06  -7.0 1.44e-03  -2.3 1.00e+00 1.00e+00h  1
 223  2.6457959e-02 1.74e-06 7.83e-06  -7.0 5.42e-04  -1.8 1.00e+00 1.00e+00h  1
 224  2.6457527e-02 1.56e-05 8.37e-06  -7.0 1.62e-03  -2.3 1.00e+00 1.00e+00h  1
 225  2.6457366e-02 2.18e-06 7.76e-06  -7.0 6.03e-04  -1.9 1.00e+00 1.00e+00h  1
 226  2.6456887e-02 1.96e-05 8.44e-06  -7.0 1.80e-03  -2.4 1.00e+00 1.00e+00h  1
 227  2.6456708e-02 2.75e-06 7.69e-06  -7.0 6.70e-04  -1.9 1.00e+00 1.00e+00h  1
 228  2.6455140e-02 2.20e-04 1.61e-05  -7.0 5.94e-03  -2.9 1.00e+00 1.00e+00h  1
 229  2.6454557e-02 3.05e-05 8.37e-06  -7.0 2.21e-03  -2.5 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 230  2.6449790e-02 2.39e-03 1.21e-04  -7.0 1.89e-02  -3.4 1.00e+00 1.00e+00h  1
 231  2.6449545e-02 4.35e-06 2.13e-05  -7.0 9.59e-04  -2.1 1.00e+00 1.00e+00h  1
 232  2.6448889e-02 4.63e-05 6.80e-05  -7.0 2.67e-03  -2.6 1.00e+00 1.00e+00h  1
 233  2.6448648e-02 6.47e-06 7.05e-06  -7.0 9.99e-04  -2.2 1.00e+00 1.00e+00h  1
 234  2.6446586e-02 5.16e-04 3.66e-05  -7.0 8.75e-03  -3.1 1.00e+00 1.00e+00h  1
 235  2.6446490e-02 1.05e-06 7.07e-06  -7.0 4.22e-04  -1.8 1.00e+00 1.00e+00h  1
 236  2.6445645e-02 9.04e-05 2.11e-05  -7.0 3.66e-03  -2.7 1.00e+00 1.00e+00h  1
 237  2.6445333e-02 1.26e-05 6.80e-06  -7.0 1.37e-03  -2.3 1.00e+00 1.00e+00h  1
 238  2.6445217e-02 1.77e-06 6.79e-06  -7.0 5.13e-04  -1.9 1.00e+00 1.00e+00h  1
 239  2.6444871e-02 1.59e-05 6.75e-06  -7.0 1.53e-03  -2.4 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 240  2.6444742e-02 2.23e-06 6.75e-06  -7.0 5.74e-04  -1.9 1.00e+00 1.00e+00h  1
 241  2.6443614e-02 1.79e-04 1.81e-05  -7.0 5.08e-03  -2.9 1.00e+00 1.00e+00h  1
 242  2.6443199e-02 2.49e-05 6.62e-06  -7.0 1.90e-03  -2.5 1.00e+00 1.00e+00h  1
 243  2.6439797e-02 1.95e-03 1.89e-04  -7.0 1.61e-02  -3.4 1.00e+00 1.00e+00h  1
 244  2.6439646e-02 3.64e-06 6.55e-06  -7.0 7.94e-04  -2.1 1.00e+00 1.00e+00h  1
 245  2.6439185e-02 3.79e-05 1.49e-05  -7.0 2.26e-03  -2.6 1.00e+00 1.00e+00h  1
 246  2.6439016e-02 5.30e-06 6.21e-06  -7.0 8.46e-04  -2.1 1.00e+00 1.00e+00h  1
 247  2.6438518e-02 4.75e-05 6.20e-06  -7.0 2.53e-03  -2.6 1.00e+00 1.00e+00h  1
 248  2.6437969e-02 5.96e-05 6.29e-06  -7.0 2.85e-03  -2.7 1.00e+00 1.00e+00h  1
 249  2.6437766e-02 8.33e-06 6.18e-06  -7.0 1.07e-03  -2.2 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 250  2.6436037e-02 6.63e-04 5.78e-05  -7.0 9.53e-03  -3.2 1.00e+00 1.00e+00h  1
 251  2.6435961e-02 1.33e-06 6.15e-06  -7.0 4.47e-04  -1.9 1.00e+00 1.00e+00h  1
 252  2.6435264e-02 1.16e-04 8.52e-06  -7.0 4.00e-03  -2.8 1.00e+00 1.00e+00h  1
 253  2.6434509e-02 1.45e-04 1.09e-05  -7.0 4.49e-03  -2.9 1.00e+00 1.00e+00h  1
 254  2.6434232e-02 2.02e-05 6.09e-06  -7.0 1.68e-03  -2.4 1.00e+00 1.00e+00h  1
 255  2.6434129e-02 2.84e-06 6.09e-06  -7.0 6.30e-04  -2.0 1.00e+00 1.00e+00h  1
 256  2.6433230e-02 2.28e-04 1.62e-05  -7.0 5.65e-03  -3.0 1.00e+00 1.00e+00h  1
 257  2.6432902e-02 3.15e-05 6.05e-06  -7.0 2.11e-03  -2.5 1.00e+00 1.00e+00h  1
 258  2.6432780e-02 4.44e-06 6.05e-06  -7.0 7.93e-04  -2.1 1.00e+00 1.00e+00h  1
 259  2.6431727e-02 3.55e-04 2.30e-05  -7.0 7.09e-03  -3.1 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 260  2.6430620e-02 4.39e-04 2.52e-05  -7.0 7.93e-03  -3.1 1.00e+00 1.00e+00h  1
 261  2.6430571e-02 8.98e-07 5.98e-06  -7.0 3.72e-04  -1.8 1.00e+00 1.00e+00h  1
 262  2.6430418e-02 8.61e-06 5.97e-06  -7.0 1.11e-03  -2.3 1.00e+00 1.00e+00h  1
 263  2.6429125e-02 6.83e-04 3.60e-05  -7.0 9.95e-03  -3.2 1.00e+00 1.00e+00h  1
 264  2.6427792e-02 8.36e-04 3.71e-05  -7.0 1.11e-02  -3.3 1.00e+00 1.00e+00h  1
 265  2.6426427e-02 1.02e-03 3.94e-05  -7.0 1.24e-02  -3.3 1.00e+00 1.00e+00h  1
 266  2.6425041e-02 1.25e-03 4.09e-05  -7.0 1.37e-02  -3.4 1.00e+00 1.00e+00h  1
 267  2.6424983e-02 2.43e-06 5.76e-06  -7.0 6.45e-04  -2.0 1.00e+00 1.00e+00h  1
 268  2.6424433e-02 2.18e-04 7.88e-06  -7.0 5.76e-03  -3.0 1.00e+00 1.00e+00h  1
 269  2.6424233e-02 3.03e-05 5.70e-06  -7.0 2.16e-03  -2.6 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 270  2.6424158e-02 4.26e-06 5.70e-06  -7.0 8.09e-04  -2.2 1.00e+00 1.00e+00h  1
 271  2.6424130e-02 5.99e-07 5.70e-06  -7.0 3.03e-04  -1.7 1.00e+00 1.00e+00h  1
 272  2.6424047e-02 5.38e-06 5.69e-06  -7.0 9.09e-04  -2.2 1.00e+00 1.00e+00h  1
 273  2.6424016e-02 7.55e-07 5.69e-06  -7.0 3.41e-04  -1.8 1.00e+00 1.00e+00h  1
 274  2.6424004e-02 1.06e-07 5.69e-06  -7.0 1.28e-04  -1.4 1.00e+00 1.00e+00h  1
 275  2.6423970e-02 9.56e-07 5.69e-06  -7.0 3.83e-04  -1.8 1.00e+00 1.00e+00h  1
 276  2.6423662e-02 7.69e-05 5.67e-06  -7.0 3.44e-03  -2.8 1.00e+00 1.00e+00h  1
 277  2.6423326e-02 9.62e-05 5.65e-06  -7.0 3.86e-03  -2.8 1.00e+00 1.00e+00h  1
 278  2.6422959e-02 1.20e-04 5.63e-06  -7.0 4.32e-03  -2.9 1.00e+00 1.00e+00h  1
 279  2.6422561e-02 1.50e-04 5.61e-06  -7.0 4.84e-03  -2.9 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 280  2.6422415e-02 2.09e-05 5.60e-06  -7.0 1.81e-03  -2.5 1.00e+00 1.00e+00h  1
 281  2.6422361e-02 2.95e-06 5.60e-06  -7.0 6.79e-04  -2.1 1.00e+00 1.00e+00h  1
 282  2.6422340e-02 4.14e-07 5.60e-06  -7.0 2.55e-04  -1.7 1.00e+00 1.00e+00h  1
 283  2.6422279e-02 3.72e-06 5.59e-06  -7.0 7.64e-04  -2.1 1.00e+00 1.00e+00h  1
 284  2.6422099e-02 3.33e-05 5.58e-06  -7.0 2.29e-03  -2.6 1.00e+00 1.00e+00h  1
 285  2.6422032e-02 4.66e-06 5.58e-06  -7.0 8.57e-04  -2.2 1.00e+00 1.00e+00h  1
 286  2.6421834e-02 4.18e-05 5.56e-06  -7.0 2.56e-03  -2.7 1.00e+00 1.00e+00h  1
 287  2.6421761e-02 5.85e-06 5.56e-06  -7.0 9.61e-04  -2.2 1.00e+00 1.00e+00h  1
 288  2.6421544e-02 5.24e-05 5.55e-06  -7.0 2.88e-03  -2.7 1.00e+00 1.00e+00h  1
 289  2.6421464e-02 7.32e-06 5.54e-06  -7.0 1.08e-03  -2.3 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 290  2.6421228e-02 6.56e-05 5.52e-06  -7.0 3.22e-03  -2.8 1.00e+00 1.00e+00h  1
 291  2.6420969e-02 8.22e-05 5.51e-06  -7.0 3.61e-03  -2.8 1.00e+00 1.00e+00h  1
 292  2.6420873e-02 1.15e-05 5.50e-06  -7.0 1.35e-03  -2.4 1.00e+00 1.00e+00h  1
 293  2.6420063e-02 9.09e-04 1.42e-05  -7.0 1.20e-02  -3.3 1.00e+00 1.00e+00h  1
 294  2.6420029e-02 1.80e-06 5.45e-06  -7.0 5.66e-04  -2.0 1.00e+00 1.00e+00h  1
 295  2.6419919e-02 1.78e-05 5.43e-06  -7.0 1.69e-03  -2.5 1.00e+00 1.00e+00h  1
 296  2.6419878e-02 2.49e-06 5.43e-06  -7.0 6.34e-04  -2.1 1.00e+00 1.00e+00h  1
 297  2.6419519e-02 2.00e-04 5.40e-06  -7.0 5.67e-03  -3.0 1.00e+00 1.00e+00h  1
 298  2.6419133e-02 2.48e-04 5.37e-06  -7.0 6.35e-03  -3.1 1.00e+00 1.00e+00h  1
 299  2.6418992e-02 3.44e-05 5.36e-06  -7.0 2.37e-03  -2.6 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 300  2.6418939e-02 4.84e-06 5.35e-06  -7.0 8.90e-04  -2.2 1.00e+00 1.00e+00h  1
 301  2.6418483e-02 3.87e-04 5.31e-06  -7.0 7.95e-03  -3.2 1.00e+00 1.00e+00h  1
 302  2.6417998e-02 4.78e-04 5.27e-06  -7.0 8.86e-03  -3.2 1.00e+00 1.00e+00h  1
 303  2.6417976e-02 9.78e-07 5.27e-06  -7.0 4.16e-04  -1.9 1.00e+00 1.00e+00h  1
 304  2.6417778e-02 8.40e-05 5.24e-06  -7.0 3.72e-03  -2.9 1.00e+00 1.00e+00h  1
 305  2.6417561e-02 1.05e-04 5.22e-06  -7.0 4.17e-03  -2.9 1.00e+00 1.00e+00h  1
 306  2.6417323e-02 1.32e-04 5.20e-06  -7.0 4.67e-03  -3.0 1.00e+00 1.00e+00h  1
 307  2.6417236e-02 1.83e-05 5.19e-06  -7.0 1.75e-03  -2.5 1.00e+00 1.00e+00h  1
 308  2.6417203e-02 2.58e-06 5.19e-06  -7.0 6.56e-04  -2.1 1.00e+00 1.00e+00h  1
 309  2.6417106e-02 2.31e-05 5.18e-06  -7.0 1.96e-03  -2.6 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 310  2.6416998e-02 2.91e-05 5.17e-06  -7.0 2.20e-03  -2.6 1.00e+00 1.00e+00h  1
 311  2.6416957e-02 4.07e-06 5.16e-06  -7.0 8.26e-04  -2.2 1.00e+00 1.00e+00h  1
 312  2.6416942e-02 5.73e-07 5.16e-06  -7.0 3.10e-04  -1.8 1.00e+00 1.00e+00h  1
 313  2.6416808e-02 4.62e-05 5.14e-06  -7.0 2.78e-03  -2.7 1.00e+00 1.00e+00h  1
 314  2.6416661e-02 5.80e-05 5.13e-06  -7.0 3.12e-03  -2.8 1.00e+00 1.00e+00h  1
 315  2.6416606e-02 8.10e-06 5.12e-06  -7.0 1.17e-03  -2.4 1.00e+00 1.00e+00h  1
 316  2.6416132e-02 6.44e-04 5.07e-06  -7.0 1.04e-02  -3.3 1.00e+00 1.00e+00h  1
 317  2.6415633e-02 7.90e-04 5.01e-06  -7.0 1.15e-02  -3.4 1.00e+00 1.00e+00h  1
 318  2.6415611e-02 1.58e-06 5.01e-06  -7.0 5.42e-04  -2.0 1.00e+00 1.00e+00h  1
 319  2.6415407e-02 1.39e-04 4.98e-06  -7.0 4.84e-03  -3.0 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 320  2.6415398e-02 2.93e-07 4.98e-06  -7.0 2.27e-04  -1.7 1.00e+00 1.00e+00h  1
 321  2.6415313e-02 2.45e-05 4.97e-06  -7.0 2.04e-03  -2.6 1.00e+00 1.00e+00h  1
 322  2.6415282e-02 3.43e-06 4.96e-06  -7.0 7.64e-04  -2.2 1.00e+00 1.00e+00h  1
 323  2.6415188e-02 3.07e-05 4.95e-06  -7.0 2.29e-03  -2.7 1.00e+00 1.00e+00h  1
 324  2.6415189e-02 3.07e-05 3.59e-04  -7.0 4.59e-01  -3.6 1.00e+00 3.73e-04h 12
 325  2.6415150e-02 5.44e-06 4.94e-06  -7.0 9.63e-04  -2.3 1.00e+00 1.00e+00h  1
 326  2.6414808e-02 4.34e-04 4.90e-06  -7.0 8.59e-03  -3.2 1.00e+00 1.00e+00h  1
 327  2.6414793e-02 8.90e-07 4.90e-06  -7.0 4.03e-04  -1.9 1.00e+00 1.00e+00h  1
 328  2.6414652e-02 7.62e-05 4.88e-06  -7.0 3.61e-03  -2.9 1.00e+00 1.00e+00h  1
 329  2.6414497e-02 9.54e-05 4.85e-06  -7.0 4.04e-03  -2.9 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 330  2.6414327e-02 1.19e-04 4.83e-06  -7.0 4.52e-03  -3.0 1.00e+00 1.00e+00h  1
 331  2.6414263e-02 1.66e-05 4.82e-06  -7.0 1.69e-03  -2.5 1.00e+00 1.00e+00h  1
 332  2.6414240e-02 2.34e-06 4.82e-06  -7.0 6.34e-04  -2.1 1.00e+00 1.00e+00h  1
 333  2.6414031e-02 1.88e-04 4.78e-06  -7.0 5.67e-03  -3.1 1.00e+00 1.00e+00h  1
 334  2.6414022e-02 3.94e-07 4.79e-06  -7.0 2.66e-04  -1.7 1.00e+00 1.00e+00h  1
 335  2.6413993e-02 3.69e-06 4.78e-06  -7.0 7.96e-04  -2.2 1.00e+00 1.00e+00h  1
 336  2.6413982e-02 5.18e-07 4.78e-06  -7.0 2.98e-04  -1.8 1.00e+00 1.00e+00h  1
 337  2.6413885e-02 4.18e-05 4.76e-06  -7.0 2.68e-03  -2.8 1.00e+00 1.00e+00h  1
 338  2.6413849e-02 5.84e-06 4.76e-06  -7.0 1.00e-03  -2.3 1.00e+00 1.00e+00h  1
 339  2.6413835e-02 8.22e-07 4.75e-06  -7.0 3.76e-04  -1.9 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 340  2.6413715e-02 6.62e-05 4.73e-06  -7.0 3.37e-03  -2.9 1.00e+00 1.00e+00h  1
 341  2.6413582e-02 8.29e-05 4.71e-06  -7.0 3.77e-03  -2.9 1.00e+00 1.00e+00h  1
 342  2.6413533e-02 1.16e-05 4.71e-06  -7.0 1.41e-03  -2.5 1.00e+00 1.00e+00h  1
 343  2.6413514e-02 1.63e-06 4.70e-06  -7.0 5.29e-04  -2.1 1.00e+00 1.00e+00h  1
 344  2.6413507e-02 2.29e-07 4.70e-06  -7.0 1.99e-04  -1.6 1.00e+00 1.00e+00h  1
 345  2.6413486e-02 2.06e-06 4.70e-06  -7.0 5.95e-04  -2.1 1.00e+00 1.00e+00h  1
 346  2.6413425e-02 1.85e-05 4.69e-06  -7.0 1.78e-03  -2.6 1.00e+00 1.00e+00h  1
 347  2.6412938e-02 1.45e-03 5.06e-06  -7.0 1.39e-02  -3.5 1.00e+00 1.00e+00h  1
 348  2.6412914e-02 2.79e-06 4.61e-06  -7.0 7.39e-04  -2.2 1.00e+00 1.00e+00h  1
 349  2.6412699e-02 2.52e-04 4.56e-06  -7.0 6.59e-03  -3.2 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 350  2.6412464e-02 3.12e-04 4.52e-06  -7.0 7.34e-03  -3.2 1.00e+00 1.00e+00h  1
 351  2.6412453e-02 6.48e-07 4.52e-06  -7.0 3.44e-04  -1.9 1.00e+00 1.00e+00h  1
 352  2.6412420e-02 6.15e-06 4.51e-06  -7.0 1.03e-03  -2.4 1.00e+00 1.00e+00h  1
 353  2.6412133e-02 4.89e-04 4.46e-06  -7.0 9.16e-03  -3.3 1.00e+00 1.00e+00h  1
 354  2.6412120e-02 9.97e-07 4.46e-06  -7.0 4.29e-04  -2.0 1.00e+00 1.00e+00h  1
 355  2.6412001e-02 8.58e-05 4.43e-06  -7.0 3.84e-03  -2.9 1.00e+00 1.00e+00h  1
 356  2.6411027e-02 6.51e-03 6.61e-06  -7.0 3.30e-02  -3.9 1.00e+00 1.00e+00h  1
 357  2.6410896e-02 1.37e-04 4.20e-06  -7.0 4.60e-03  -3.0 1.00e+00 1.00e+00h  1
 358  2.6410750e-02 1.66e-04 4.16e-06  -7.0 5.13e-03  -3.1 1.00e+00 1.00e+00h  1
 359  2.6410588e-02 2.11e-04 4.12e-06  -7.0 5.72e-03  -3.1 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 360  2.6410409e-02 2.69e-04 4.08e-06  -7.0 6.36e-03  -3.2 1.00e+00 1.00e+00h  1
 361  2.6410212e-02 3.44e-04 4.03e-06  -7.0 7.07e-03  -3.2 1.00e+00 1.00e+00h  1
 362  2.6409996e-02 4.40e-04 3.97e-06  -7.0 7.85e-03  -3.3 1.00e+00 1.00e+00h  1
 363  2.6409735e-02 6.74e-05 2.35e-05  -7.0 6.59e-02  -3.3 1.00e+00 1.00e+00H  1
 364  2.6409726e-02 1.25e-06 3.90e-06  -7.0 4.07e-04  -2.0 1.00e+00 1.00e+00h  1
 365  2.6409692e-02 1.13e-05 3.90e-06  -7.0 1.22e-03  -2.5 1.00e+00 1.00e+00h  1
 366  2.6409679e-02 1.59e-06 3.89e-06  -7.0 4.56e-04  -2.1 1.00e+00 1.00e+00h  1
 367  2.6409567e-02 1.29e-04 3.86e-06  -7.0 4.08e-03  -3.0 1.00e+00 1.00e+00h  1
 368  2.6409526e-02 1.82e-05 3.85e-06  -7.0 1.52e-03  -2.6 1.00e+00 1.00e+00h  1
 369  2.6409510e-02 2.56e-06 3.85e-06  -7.0 5.71e-04  -2.2 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 370  2.6409373e-02 2.08e-04 3.81e-06  -7.0 5.09e-03  -3.1 1.00e+00 1.00e+00h  1
 371  2.6409221e-02 2.65e-04 3.77e-06  -7.0 5.66e-03  -3.2 1.00e+00 1.00e+00h  1
 372  2.6409214e-02 6.01e-07 3.77e-06  -7.0 2.65e-04  -1.8 1.00e+00 1.00e+00h  1
 373  2.6409151e-02 4.73e-05 3.75e-06  -7.0 2.37e-03  -2.8 1.00e+00 1.00e+00h  1
 374  2.6409127e-02 6.67e-06 3.74e-06  -7.0 8.89e-04  -2.4 1.00e+00 1.00e+00h  1
 375  2.6408920e-02 5.43e-04 3.68e-06  -7.0 7.87e-03  -3.3 1.00e+00 1.00e+00h  1
 376  2.6408910e-02 1.25e-06 3.68e-06  -7.0 3.69e-04  -2.0 1.00e+00 1.00e+00h  1
 377  2.6408881e-02 1.08e-05 3.67e-06  -7.0 1.10e-03  -2.5 1.00e+00 1.00e+00h  1
 378  2.6408870e-02 1.52e-06 3.66e-06  -7.0 4.13e-04  -2.1 1.00e+00 1.00e+00h  1
 379  2.6408773e-02 1.23e-04 3.63e-06  -7.0 3.69e-03  -3.0 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 380  2.6408666e-02 1.57e-04 3.60e-06  -7.0 4.11e-03  -3.1 1.00e+00 1.00e+00h  1
 381  2.6408626e-02 2.22e-05 3.59e-06  -7.0 1.54e-03  -2.6 1.00e+00 1.00e+00h  1
 382  2.6408244e-02 9.55e-05 3.70e-05  -7.0 6.98e-02  -3.6 1.00e+00 1.00e+00H  1
 383  2.6408230e-02 4.07e-06 3.47e-06  -7.0 6.27e-04  -2.3 1.00e+00 1.00e+00h  1
 384  2.6408083e-02 3.31e-04 3.42e-06  -7.0 5.57e-03  -3.2 1.00e+00 1.00e+00h  1
 385  2.6408077e-02 7.54e-07 3.42e-06  -7.0 2.61e-04  -1.9 1.00e+00 1.00e+00h  1
 386  2.6408056e-02 6.56e-06 3.41e-06  -7.0 7.81e-04  -2.4 1.00e+00 1.00e+00h  1
 387  2.6408049e-02 9.23e-07 3.41e-06  -7.0 2.93e-04  -1.9 1.00e+00 1.00e+00h  1
 388  2.6408026e-02 8.30e-06 3.40e-06  -7.0 8.76e-04  -2.4 1.00e+00 1.00e+00h  1
 389  2.6408017e-02 1.17e-06 3.40e-06  -7.0 3.28e-04  -2.0 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 390  2.6407992e-02 1.05e-05 3.39e-06  -7.0 9.82e-04  -2.5 1.00e+00 1.00e+00h  1
 391  2.6407982e-02 1.48e-06 3.39e-06  -7.0 3.68e-04  -2.0 1.00e+00 1.00e+00h  1
 392  2.6407898e-02 1.20e-04 3.36e-06  -7.0 3.28e-03  -3.0 1.00e+00 1.00e+00h  1
 393  2.6407866e-02 1.70e-05 3.35e-06  -7.0 1.23e-03  -2.6 1.00e+00 1.00e+00h  1
 394  2.6407593e-02 1.38e-03 3.25e-06  -7.0 1.07e-02  -3.5 1.00e+00 1.00e+00h  1
 395  2.6407580e-02 3.27e-06 3.25e-06  -7.0 5.02e-04  -2.2 1.00e+00 1.00e+00h  1
