[2025-06-02 15:22:19.643] [info] Loaded model SUBJ01_2d from file SUBJ01_scaledModelAdjusted_2d.osim
[2025-06-02 15:25:11.848] [info] Storage: read data file = SUBJ01_walk_ik_2d.mot (nr=106 nc=13)
[2025-06-02 15:25:11.849] [info] Storage: read data file = SUBJ01_walk_ik_2d.mot (nr=106 nc=13)
[2025-06-02 15:25:38.668] [info] Loaded model SUBJ01_2d from file SUBJ01_scaledModelAdjusted_2d.osim
[2025-06-02 15:25:45.435] [info] Storage: read data file = SUBJ01_walk_ik_2d.mot (nr=106 nc=13)
[2025-06-02 15:25:47.479] [info] Storage: read data file = SUBJ01_walk_ik_2d.mot (nr=106 nc=13)
[2025-06-02 15:26:46.986] [info] Loaded model SUBJ01_2d from file SUBJ01_scaledModelAdjusted_2d.osim
[2025-06-02 15:45:49.621] [info] Loaded model SUBJ01_2d from file SUBJ01_exp-tracking_2d.osim
[2025-06-02 15:45:50.053] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 15:45:50.053] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 15:45:50.053] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 15:45:50.072] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 15:45:50.072] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 15:45:50.072] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 15:45:50.090] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 15:45:50.090] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 15:45:50.090] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 15:45:50.104] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 15:45:50.104] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 15:45:50.104] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 15:45:50.120] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 15:45:50.120] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 15:45:50.120] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 15:45:50.135] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 15:45:50.135] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 15:45:50.135] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 15:45:50.195] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 15:45:50.195] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 15:45:50.195] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 15:45:50.235] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 15:45:50.235] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 15:45:50.235] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 15:45:50.254] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 15:45:50.254] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 15:45:50.254] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 15:45:50.270] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 15:45:50.270] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 15:45:50.270] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 15:45:50.294] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 15:45:50.294] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 15:45:50.294] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 15:45:50.321] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 15:45:50.321] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 15:45:50.321] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 15:45:50.341] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 15:45:50.341] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 15:45:50.341] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 15:45:50.356] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 15:45:50.356] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 15:45:50.356] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 15:45:50.378] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 15:45:50.378] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 15:45:50.378] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 15:45:50.405] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 15:45:50.405] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 15:45:50.405] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 15:45:50.424] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 15:45:50.424] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 15:45:50.424] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 15:45:50.439] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 15:45:50.439] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 15:45:50.439] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 15:45:50.460] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 15:45:50.460] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 15:45:50.460] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 15:45:50.486] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 15:45:50.486] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 15:45:50.486] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 15:45:50.505] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 15:45:50.505] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 15:45:50.505] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 15:45:50.521] [info] ExternalForce::grf1 Data source being set to walk_grf
