[2025-06-02 14:46:43.798] [info] Loaded model SUBJ01_3d from file SUBJ01_scaledModelAdjusted_3d.osim
[2025-06-02 14:46:44.359] [info] Storage: read data file = SUBJ01_walk_ik_3d.mot (nr=106 nc=26)
[2025-06-02 14:46:44.361] [info] Storage: read data file = SUBJ01_walk_ik_3d.mot (nr=106 nc=26)
[2025-06-02 14:46:44.516] [info] Loaded model SUBJ01_3d from file SUBJ01_exp-tracking_3d.osim
[2025-06-02 14:46:44.580] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 14:46:44.580] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 14:46:44.580] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 14:46:44.596] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 14:46:44.597] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 14:46:44.597] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 14:46:44.611] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 14:46:44.611] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 14:46:44.611] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 14:46:44.624] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 14:46:44.624] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 14:46:44.624] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 14:46:44.637] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 14:46:44.637] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 14:46:44.637] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 14:46:44.650] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 14:46:44.650] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 14:46:44.650] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 14:46:44.664] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 14:46:44.664] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 14:46:44.664] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 14:46:44.676] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 14:46:44.676] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 14:46:44.676] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 14:46:44.690] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 14:46:44.690] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 14:46:44.690] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 14:46:44.703] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 14:46:44.703] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 14:46:44.703] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 14:46:44.786] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 14:46:44.786] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 14:46:44.786] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 14:46:44.820] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 14:46:44.820] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 14:46:44.820] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 14:46:44.840] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 14:46:44.840] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 14:46:44.840] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 14:46:44.855] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 14:46:44.855] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 14:46:44.855] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 14:46:44.879] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 14:46:44.879] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 14:46:44.879] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 14:46:44.907] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 14:46:44.907] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 14:46:44.907] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 14:46:44.926] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 14:46:44.926] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 14:46:44.926] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 14:46:44.941] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 14:46:44.941] [info] ExternalForce::grf2 Data source being set to walk_grf
[2025-06-02 14:46:44.941] [info] ExternalForce::grf4 Data source being set to walk_grf
[2025-06-02 14:46:44.966] [info] ExternalForce::grf1 Data source being set to walk_grf
[2025-06-02 14:46:44.966] [info] ExternalForce::grf2 Data source being set to walk_grf
